Component,Location,Type,JSXCount,HasStatefulLogic,HasUIElements,Exports,FileSizeBytes,DependsOnMUI,UsesInternalPath,ExtractedExportName,SharingPotential,Category
NavigationItem,models\NavigationItem.js,Unknown,0,No,No,No,935,No,No,,Low,Needs Review
config,navigation\config.js,FunctionalComponent,0,No,No,Yes,1208,No,No,buildNavigation,Low,Needs Review
useNav,navigation\useNav.js,FunctionalComponent,0,No,No,Yes,1272,No,No,useNav,Low,Needs Review
index,pages\0-Auth\01-Login\index.js,FunctionalComponent,3,Yes,Yes,Yes,2601,Yes,No,,Medium,App-Specific
Presenter,pages\0-Auth\01-Login\Presenter.js,Unknown,0,No,No,Yes,4962,No,No,LoginPresenter,Low,App-Specific
View,pages\0-Auth\01-Login\View.js,FunctionalComponent,13,No,Yes,Yes,2152,Yes,No,,High,App-Specific
index,pages\1-Dashboard\index.jsx,FunctionalComponent,1,No,Yes,Yes,148,No,No,,Low,App-Specific
Presenter,pages\1-Dashboard\Presenter.js,FunctionalComponent,0,No,No,Yes,1354,Yes,No,DashboardPresenter,Low,App-Specific
View,pages\1-Dashboard\View.jsx,FunctionalComponent,16,No,Yes,Yes,1750,Yes,No,,High,App-Specific
index,pages\2-Ingredient\01-ingrTypeList\index.jsx,Unknown,1,No,Yes,Yes,881,No,No,,Low,App-Specific
index,pages\2-Ingredient\02-ingrList\index.jsx,Unknown,1,No,Yes,Yes,1179,No,No,,Low,App-Specific
index,pages\2-Ingredient\03-ingrBtchList\index.jsx,Unknown,1,No,Yes,Yes,1202,No,No,,Low,App-Specific
index,pages\3-Product\01-prodTypeList\index.jsx,Unknown,1,No,Yes,Yes,875,No,No,,Low,App-Specific
index,pages\3-Product\02-prodList\index.jsx,Unknown,1,No,Yes,Yes,1164,No,No,,Low,App-Specific
index,pages\3-Product\03-prodBtchList\index.jsx,Unknown,1,No,Yes,Yes,1187,No,No,,Low,App-Specific
index,pages\4-Reference\01-brndList\index.jsx,Unknown,1,No,Yes,Yes,849,No,No,,Low,App-Specific
index,pages\4-Reference\02-vndrList\index.jsx,Unknown,1,No,Yes,Yes,851,No,No,,Low,App-Specific
index,pages\4-Reference\03-wrkrList\index.jsx,Unknown,1,No,Yes,Yes,851,No,No,,Low,App-Specific
